cnpj;ticker;denominacao;gestor;segmento_b3;classificacao_scout;observacoes
42682790000182;;QR BLOOMBERG DEFI FUNDO DE ÍNDICE - INVESTIMENTO NO EXTERIOR;;ETF-Cripto;Cripto;
39979022000180;;QR CME CF BITCOIN REFERENCE RATE FUNDO DE ÍNDICE - INVESTIMENTO NO EXTERIOR;QR ASSET GESTORA DE RECURSOS LTDA.;ETF-Cripto;Cripto;
41706298000137;;QR CME CF ETHER REFERENCE RATE FUNDO DE ÍNDICE - INVESTIMENTO NO EXTERIOR;QR ASSET GESTORA DE RECURSOS LTDA.;ETF-Cripto;Cripto;
56043036000107;;QR CME CF SOLANA DOLLAR REFERENCE RATE FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA;QR ASSET GESTORA DE RECURSOS LTDA.;ETF-Cripto;Cripto;
63506564000110;;TREND ETF BLOOMBERG BITCOIN CLASSE DE  ÍNDICE - RESPONSABILIDADE LIMITADA;XP ALLOCATION ASSET MANAGEMENT LTDA.;ETF-Cripto;Cripto;
63669232000157;;TREND ETF BLOOMBERG ETHEREUM CLASSE DE  ÍNDICE - RESPONSABILIDADE LIMITADA;XP ALLOCATION ASSET MANAGEMENT LTDA.;ETF-Cripto;Cripto;
59680030000139;;BUENA VISTA NEOS REAL ESTATE HIGH INCOME BR INDEX FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;BUENA VISTA GESTORA DE RECURSOS LTDA.;ETF;FIIs (índice);
60419043000138;;HEDGE BRASIL EQUITY REITS FUNDO DE ÍNDICE DE RESPONSABILIDADE LIMITADA;HEDGE INVESTMENTS REAL ESTATE GESTÃO DE RECURSOS L;;FIIs (índice);sinais no nome: Ações Internacionais + Ações Brasil
36046508000178;;TREND ETF IFIX-L  CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;XP ALLOCATION ASSET MANAGEMENT LTDA.;;FIIs (índice);
62319584000110;;B-INDEX ETF IMA-B 5 P2 FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;BANCO BRADESCO S.A.;ETF-RF;Renda Fixa;
62363807000146;;B-INDEX ETF IRF-M P2 FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;BANCO BRADESCO S.A.;ETF-RF;Renda Fixa;
62390395000133;;B-INDEX ETF TEVA LFT CURTO PRAZO FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;BANCO BRADESCO S.A.;ETF-RF;Renda Fixa;
26845780000164;;BB ETF RENDA FIXA PRÉ ÍNDICE FUTURO DE TAXAS DE JUROS S&P/B3  FUNDO DE ÍNDICE RESP LIMITADA;BB GESTAO DE RECURSOS DTVM S.A;ETF-RF;Renda Fixa;sinais no nome: Renda Fixa + Ações Internacionais
51921067000108;;BB ETF ÍNDICE DAP5 B3 FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA;BB GESTAO DE RECURSOS DTVM S.A;ETF-RF;Renda Fixa;
63082782000175;;BTG PACTUAL DYNAMIC BALANCED CLO FUNDO DE ÍNDICE;BTG PACTUAL ASSET MANAGEMENT S/A DTVM;;Renda Fixa;
57656453000198;;BTG PACTUAL IMA-B 5 P2 FUNDO DE ÍNDICE;BTG PACTUAL ASSET MANAGEMENT S/A DTVM;ETF-RF;Renda Fixa;
61433898000186;;BTG PACTUAL IMA-B 5+ FUNDO DE ÍNDICE;BTG PACTUAL ASSET MANAGEMENT S/A DTVM;ETF-RF;Renda Fixa;
57656200000114;;BTG PACTUAL IMA-B FUNDO DE ÍNDICE;BTG PACTUAL ASSET MANAGEMENT S/A DTVM;ETF-RF;Renda Fixa;
61433644000168;;BTG PACTUAL IRF-M P2 FUNDO DE ÍNDICE;BTG PACTUAL ASSET MANAGEMENT S/A DTVM;ETF-RF;Renda Fixa;
59172415000195;;BTG PACTUAL MARGEM DEBÊNTURES ULTRA QUALIDADE DI B3 FUNDO DE ÍNDICE;BTG PACTUAL ASSET MANAGEMENT S/A DTVM;ETF-RF;Renda Fixa;
66607709000168;;BTG PACTUAL PF TEVA ITBR TESOURO IPCA FUNDO DE ÍNDICE;BTG PACTUAL ASSET MANAGEMENT S/A DTVM;ETF-RF;Renda Fixa;sinais no nome: Renda Fixa + Commodities
62579973000184;;BTG PACTUAL TEVA AUVP RENDA AUTOMÁTICA ITBR IPCA RENDIMENTO FUNDO DE ÍNDICE;BTG PACTUAL ASSET MANAGEMENT S/A DTVM;ETF-RF;Renda Fixa;
45064129000100;;BTG PACTUAL TEVA DEBÊNTURES DI FUNDO DE ÍNDICE;BTG PACTUAL ASSET MANAGEMENT S/A DTVM;ETF-RF;Renda Fixa;
62320381000143;;BTG PACTUAL TEVA ITBR IPCA 95-5 FUNDO DE ÍNDICE;BTG PACTUAL ASSET MANAGEMENT S/A DTVM;ETF-RF;Renda Fixa;
62999367000118;;BTG PACTUAL TEVA ITBR IPCA FUNDO DE ÍNDICE;BTG PACTUAL ASSET MANAGEMENT S/A DTVM;ETF-RF;Renda Fixa;
64690760000150;;BTG PACTUAL TEVA ITBR TESOURO IPCA 2035 FUNDO DE ÍNDICE;BTG PACTUAL ASSET MANAGEMENT S/A DTVM;ETF-RF;Renda Fixa;sinais no nome: Renda Fixa + Commodities
62087419000180;;BTG PACTUAL TEVA LETRAS FINANCEIRAS DI QUALIDADE FUNDO DE ÍNDICE;BTG PACTUAL ASSET MANAGEMENT S/A DTVM;ETF-RF;Renda Fixa;
44702829000101;;BTG PACTUAL TEVA TESOURO IPCA ULTRA LONGO CE FUNDO DE ÍNDICE;BTG PACTUAL ASSET MANAGEMENT S/A DTVM;ETF-RF;Renda Fixa;sinais no nome: Renda Fixa + Commodities
61088467000120;;BTG PACTUAL TEVA TESOURO SELIC FUNDO DE ÍNDICE;BTG PACTUAL ASSET MANAGEMENT S/A DTVM;ETF-RF;Renda Fixa;sinais no nome: Renda Fixa + Commodities
59783336000110;;BUENA VISTA NEOS ENCHANCED INCOME 1-3 MONTH T-BILL ETF BR INDEX FUNDO DE ÍNDICE - RESP LIMITADA;BUENA VISTA GESTORA DE RECURSOS LTDA.;ETF;Renda Fixa;
